EventTime,UserID,EventName,EventSource,AWSRegion,Region,SourceIPAddress,MFA_Used,Resource,EventDetail,ComplianceLabel,RawLog
2026-03-29T10:38:03.138790+00:00,user-036,ConsoleLogin,signin.amazonaws.com,us-west-2,us-west-2,172.16.52.174,True,IAM User,User logged in with MFA,Compliant,2026-03-29T10:38:03.138790+00:00 signin.amazonaws.com ConsoleLogin by user-036 in us-west-2; MFA=True; User logged in with MFA
2026-03-31T12:51:20.138790+00:00,user-028,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,54.240.73.68,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-31T12:51:20.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-028 in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-31T13:57:11.138790+00:00,root,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,192.168.112.36,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-31T13:57:11.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by root in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-28T14:08:15.138790+00:00,user-007,ConsoleLogin,signin.amazonaws.com,us-east-1,us-east-1,172.16.216.153,True,IAM User,User logged in with MFA,Compliant,2026-03-28T14:08:15.138790+00:00 signin.amazonaws.com ConsoleLogin by user-007 in us-east-1; MFA=True; User logged in with MFA
2026-04-02T10:45:29.138790+00:00,user-060,DisableKey,kms.amazonaws.com,eu-west-1,eu-west-1,10.0.58.175,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-04-02T10:45:29.138790+00:00 kms.amazonaws.com DisableKey by user-060 in eu-west-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-30T07:06:27.138790+00:00,user-044,PutBucketAcl,s3.amazonaws.com,us-east-1,us-east-1,54.240.80.117,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-03-30T07:06:27.138790+00:00 s3.amazonaws.com PutBucketAcl by user-044 in us-east-1; MFA=False; Bucket ACL set to public-read
2026-04-01T21:29:32.138790+00:00,user-065,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,10.0.152.216,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-04-01T21:29:32.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-065 in us-west-2; MFA=True; Security group updated with restricted source CIDR
2026-03-28T16:40:26.138790+00:00,user-020,PutBucketPublicAccessBlock,s3.amazonaws.com,eu-west-1,eu-west-1,3.91.0.154,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-28T16:40:26.138790+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-020 in eu-west-1; MFA=True; S3 public access block enabled
2026-03-30T11:11:21.138790+00:00,user-015,ConsoleLogin,signin.amazonaws.com,eu-west-1,eu-west-1,172.16.29.62,True,IAM User,User logged in with MFA,Compliant,2026-03-30T11:11:21.138790+00:00 signin.amazonaws.com ConsoleLogin by user-015 in eu-west-1; MFA=True; User logged in with MFA
2026-03-27T13:46:44.138790+00:00,user-011,CreateBucket,s3.amazonaws.com,ap-south-1,ap-south-1,3.91.64.33,False,S3 Bucket,Public S3 bucket created,Non-Compliant,2026-03-27T13:46:44.138790+00:00 s3.amazonaws.com CreateBucket by user-011 in ap-south-1; MFA=False; Public S3 bucket created
2026-03-29T07:18:36.138790+00:00,user-034,PutBucketPublicAccessBlock,s3.amazonaws.com,ap-south-1,ap-south-1,3.91.102.183,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-29T07:18:36.138790+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-034 in ap-south-1; MFA=True; S3 public access block enabled
2026-03-28T04:51:52.138790+00:00,user-057,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,172.16.115.17,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-28T04:51:52.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-057 in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-27T14:17:51.138790+00:00,user-029,PutBucketPublicAccessBlock,s3.amazonaws.com,us-east-1,us-east-1,10.0.117.18,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-27T14:17:51.138790+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-029 in us-east-1; MFA=True; S3 public access block enabled
2026-03-30T02:43:54.138790+00:00,user-010,PutBucketAcl,s3.amazonaws.com,us-west-2,us-west-2,54.240.109.139,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-03-30T02:43:54.138790+00:00 s3.amazonaws.com PutBucketAcl by user-010 in us-west-2; MFA=False; Bucket ACL set to public-read
2026-03-31T16:11:03.138790+00:00,user-032,DisableKey,kms.amazonaws.com,ap-south-1,ap-south-1,172.16.48.25,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-31T16:11:03.138790+00:00 kms.amazonaws.com DisableKey by user-032 in ap-south-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-04-01T09:39:00.138790+00:00,user-055,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,10.0.50.16,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-04-01T09:39:00.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-055 in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-29T01:25:26.138790+00:00,user-014,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,172.16.229.36,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-29T01:25:26.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-014 in us-west-2; MFA=True; Security group updated with restricted source CIDR
2026-03-27T15:34:36.138790+00:00,user-060,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,54.240.50.13,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-27T15:34:36.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-060 in us-west-2; MFA=True; Security group updated with restricted source CIDR
2026-03-28T18:03:39.138790+00:00,user-012,ConsoleLogin,signin.amazonaws.com,us-west-2,us-west-2,54.240.248.124,True,IAM User,User logged in with MFA,Compliant,2026-03-28T18:03:39.138790+00:00 signin.amazonaws.com ConsoleLogin by user-012 in us-west-2; MFA=True; User logged in with MFA
2026-03-31T08:00:12.138790+00:00,user-008,DisableKey,kms.amazonaws.com,us-west-2,us-west-2,10.0.199.68,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-31T08:00:12.138790+00:00 kms.amazonaws.com DisableKey by user-008 in us-west-2; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-04-02T11:29:55.138790+00:00,user-037,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,54.240.79.49,False,Security Group,Security group opened to 0.0.0.0/0 on port 22,Non-Compliant,2026-04-02T11:29:55.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-037 in ap-south-1; MFA=False; Security group opened to 0.0.0.0/0 on port 22
2026-03-30T12:57:48.138790+00:00,root,ConsoleLogin,signin.amazonaws.com,us-east-1,us-east-1,10.0.25.150,True,IAM User,User logged in with MFA,Compliant,2026-03-30T12:57:48.138790+00:00 signin.amazonaws.com ConsoleLogin by root in us-east-1; MFA=True; User logged in with MFA
2026-03-28T23:44:41.138790+00:00,user-008,PutBucketPublicAccessBlock,s3.amazonaws.com,us-east-1,us-east-1,10.0.34.173,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-28T23:44:41.138790+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-008 in us-east-1; MFA=True; S3 public access block enabled
2026-03-27T05:11:42.138790+00:00,user-016,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,3.91.41.108,False,Security Group,Security group opened to 0.0.0.0/0 on port 22,Non-Compliant,2026-03-27T05:11:42.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-016 in us-west-2; MFA=False; Security group opened to 0.0.0.0/0 on port 22
2026-03-30T13:07:55.138790+00:00,user-034,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,172.16.135.102,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-30T13:07:55.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-034 in us-west-2; MFA=True; Security group updated with restricted source CIDR
2026-03-27T14:44:56.138790+00:00,user-059,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,eu-west-1,eu-west-1,10.0.234.160,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-27T14:44:56.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-059 in eu-west-1; MFA=True; Security group updated with restricted source CIDR
2026-04-01T20:58:08.138790+00:00,user-010,CreateBucket,s3.amazonaws.com,us-west-2,us-west-2,192.168.67.239,False,S3 Bucket,Public S3 bucket created,Non-Compliant,2026-04-01T20:58:08.138790+00:00 s3.amazonaws.com CreateBucket by user-010 in us-west-2; MFA=False; Public S3 bucket created
2026-03-30T04:37:40.138790+00:00,user-032,ConsoleLogin,signin.amazonaws.com,eu-west-1,eu-west-1,172.16.224.214,True,IAM User,User logged in with MFA,Compliant,2026-03-30T04:37:40.138790+00:00 signin.amazonaws.com ConsoleLogin by user-032 in eu-west-1; MFA=True; User logged in with MFA
2026-04-02T11:09:32.138790+00:00,user-068,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-east-1,us-east-1,192.168.53.241,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-04-02T11:09:32.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-068 in us-east-1; MFA=True; Security group updated with restricted source CIDR
2026-04-02T10:45:27.138790+00:00,user-015,PutBucketAcl,s3.amazonaws.com,us-east-1,us-east-1,172.16.139.73,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-04-02T10:45:27.138790+00:00 s3.amazonaws.com PutBucketAcl by user-015 in us-east-1; MFA=False; Bucket ACL set to public-read
2026-04-01T20:49:49.138790+00:00,user-027,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,eu-west-1,eu-west-1,54.240.128.232,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-04-01T20:49:49.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-027 in eu-west-1; MFA=True; Security group updated with restricted source CIDR
2026-03-30T02:12:30.138790+00:00,user-012,CreateBucket,s3.amazonaws.com,ap-south-1,ap-south-1,10.0.1.86,False,S3 Bucket,Public S3 bucket created,Non-Compliant,2026-03-30T02:12:30.138790+00:00 s3.amazonaws.com CreateBucket by user-012 in ap-south-1; MFA=False; Public S3 bucket created
2026-04-02T10:18:28.138790+00:00,user-021,PutBucketAcl,s3.amazonaws.com,ap-south-1,ap-south-1,54.240.4.29,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-04-02T10:18:28.138790+00:00 s3.amazonaws.com PutBucketAcl by user-021 in ap-south-1; MFA=False; Bucket ACL set to public-read
2026-03-31T05:09:41.138790+00:00,user-070,PutBucketPublicAccessBlock,s3.amazonaws.com,us-east-1,us-east-1,3.91.75.111,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-31T05:09:41.138790+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-070 in us-east-1; MFA=True; S3 public access block enabled
2026-03-31T01:50:20.138790+00:00,user-047,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-east-1,us-east-1,172.16.127.171,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-31T01:50:20.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-047 in us-east-1; MFA=True; Security group updated with restricted source CIDR
2026-03-28T16:57:05.138790+00:00,user-020,DisableKey,kms.amazonaws.com,us-west-2,us-west-2,172.16.211.7,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-28T16:57:05.138790+00:00 kms.amazonaws.com DisableKey by user-020 in us-west-2; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-29T23:19:56.138790+00:00,user-053,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,172.16.55.98,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-29T23:19:56.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-053 in us-west-2; MFA=True; Security group updated with restricted source CIDR
2026-04-01T07:41:32.138790+00:00,user-029,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,192.168.156.211,False,Security Group,Security group opened to 0.0.0.0/0 on port 22,Non-Compliant,2026-04-01T07:41:32.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-029 in us-west-2; MFA=False; Security group opened to 0.0.0.0/0 on port 22
2026-03-29T01:52:21.138790+00:00,root,ConsoleLogin,signin.amazonaws.com,us-east-1,us-east-1,54.240.168.72,False,Root Account,Root login without MFA,Non-Compliant,2026-03-29T01:52:21.138790+00:00 signin.amazonaws.com ConsoleLogin by root in us-east-1; MFA=False; Root login without MFA
2026-04-02T05:48:12.138790+00:00,user-045,PutBucketAcl,s3.amazonaws.com,ap-south-1,ap-south-1,192.168.14.30,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-04-02T05:48:12.138790+00:00 s3.amazonaws.com PutBucketAcl by user-045 in ap-south-1; MFA=False; Bucket ACL set to public-read
2026-03-27T04:45:45.138790+00:00,user-023,PutBucketAcl,s3.amazonaws.com,eu-west-1,eu-west-1,10.0.222.89,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-03-27T04:45:45.138790+00:00 s3.amazonaws.com PutBucketAcl by user-023 in eu-west-1; MFA=False; Bucket ACL set to public-read
2026-03-31T09:48:56.138790+00:00,user-056,PutBucketAcl,s3.amazonaws.com,us-east-1,us-east-1,3.91.97.66,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-03-31T09:48:56.138790+00:00 s3.amazonaws.com PutBucketAcl by user-056 in us-east-1; MFA=False; Bucket ACL set to public-read
2026-03-31T03:42:23.138790+00:00,user-001,DisableKey,kms.amazonaws.com,us-west-2,us-west-2,54.240.35.243,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-31T03:42:23.138790+00:00 kms.amazonaws.com DisableKey by user-001 in us-west-2; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-30T09:05:40.138790+00:00,user-041,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-east-1,us-east-1,3.91.158.171,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-30T09:05:40.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-041 in us-east-1; MFA=True; Security group updated with restricted source CIDR
2026-03-29T01:29:48.138790+00:00,user-038,DisableKey,kms.amazonaws.com,us-west-2,us-west-2,54.240.194.174,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-29T01:29:48.138790+00:00 kms.amazonaws.com DisableKey by user-038 in us-west-2; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-31T15:53:50.138790+00:00,root,ConsoleLogin,signin.amazonaws.com,eu-west-1,eu-west-1,3.91.0.78,False,Root Account,Root login without MFA,Non-Compliant,2026-03-31T15:53:50.138790+00:00 signin.amazonaws.com ConsoleLogin by root in eu-west-1; MFA=False; Root login without MFA
2026-04-01T09:03:25.138790+00:00,root,DisableKey,kms.amazonaws.com,eu-west-1,eu-west-1,54.240.226.173,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-04-01T09:03:25.138790+00:00 kms.amazonaws.com DisableKey by root in eu-west-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-30T04:16:41.138790+00:00,user-022,DisableKey,kms.amazonaws.com,us-east-1,us-east-1,3.91.171.24,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-30T04:16:41.138790+00:00 kms.amazonaws.com DisableKey by user-022 in us-east-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-29T03:37:12.138790+00:00,root,ConsoleLogin,signin.amazonaws.com,us-west-2,us-west-2,172.16.12.12,False,Root Account,Root login without MFA,Non-Compliant,2026-03-29T03:37:12.138790+00:00 signin.amazonaws.com ConsoleLogin by root in us-west-2; MFA=False; Root login without MFA
2026-03-31T18:20:02.138790+00:00,user-010,DisableKey,kms.amazonaws.com,ap-south-1,ap-south-1,3.91.99.184,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-31T18:20:02.138790+00:00 kms.amazonaws.com DisableKey by user-010 in ap-south-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-28T12:36:09.138790+00:00,user-052,DisableKey,kms.amazonaws.com,us-west-2,us-west-2,10.0.54.200,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-28T12:36:09.138790+00:00 kms.amazonaws.com DisableKey by user-052 in us-west-2; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-27T08:14:47.138790+00:00,user-067,PutBucketPublicAccessBlock,s3.amazonaws.com,ap-south-1,ap-south-1,3.91.127.235,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-27T08:14:47.138790+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-067 in ap-south-1; MFA=True; S3 public access block enabled
2026-04-02T04:19:22.138790+00:00,user-018,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,3.91.162.244,False,Security Group,Security group opened to 0.0.0.0/0 on port 22,Non-Compliant,2026-04-02T04:19:22.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-018 in ap-south-1; MFA=False; Security group opened to 0.0.0.0/0 on port 22
2026-04-02T09:11:55.138790+00:00,user-065,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,54.240.81.191,False,Security Group,Security group opened to 0.0.0.0/0 on port 22,Non-Compliant,2026-04-02T09:11:55.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-065 in ap-south-1; MFA=False; Security group opened to 0.0.0.0/0 on port 22
2026-03-30T02:23:32.138790+00:00,user-034,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,3.91.248.161,False,Security Group,Security group opened to 0.0.0.0/0 on port 22,Non-Compliant,2026-03-30T02:23:32.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-034 in us-west-2; MFA=False; Security group opened to 0.0.0.0/0 on port 22
2026-03-29T13:55:14.138790+00:00,user-010,DisableKey,kms.amazonaws.com,eu-west-1,eu-west-1,192.168.171.82,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-29T13:55:14.138790+00:00 kms.amazonaws.com DisableKey by user-010 in eu-west-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-29T12:58:45.138790+00:00,user-018,CreateBucket,s3.amazonaws.com,us-west-2,us-west-2,54.240.78.181,False,S3 Bucket,Public S3 bucket created,Non-Compliant,2026-03-29T12:58:45.138790+00:00 s3.amazonaws.com CreateBucket by user-018 in us-west-2; MFA=False; Public S3 bucket created
2026-04-02T07:39:59.138790+00:00,user-053,DisableKey,kms.amazonaws.com,eu-west-1,eu-west-1,54.240.212.16,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-04-02T07:39:59.138790+00:00 kms.amazonaws.com DisableKey by user-053 in eu-west-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-04-02T17:18:05.138790+00:00,user-050,DisableKey,kms.amazonaws.com,us-east-1,us-east-1,54.240.244.2,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-04-02T17:18:05.138790+00:00 kms.amazonaws.com DisableKey by user-050 in us-east-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-04-02T06:23:15.138790+00:00,user-050,PutBucketAcl,s3.amazonaws.com,ap-south-1,ap-south-1,3.91.112.125,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-04-02T06:23:15.138790+00:00 s3.amazonaws.com PutBucketAcl by user-050 in ap-south-1; MFA=False; Bucket ACL set to public-read
2026-03-31T10:52:56.138790+00:00,user-063,DisableKey,kms.amazonaws.com,us-east-1,us-east-1,192.168.207.186,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-31T10:52:56.138790+00:00 kms.amazonaws.com DisableKey by user-063 in us-east-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-31T12:23:10.138790+00:00,user-017,DisableKey,kms.amazonaws.com,us-east-1,us-east-1,3.91.13.22,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-31T12:23:10.138790+00:00 kms.amazonaws.com DisableKey by user-017 in us-east-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-27T08:15:57.138790+00:00,user-060,PutBucketPublicAccessBlock,s3.amazonaws.com,us-west-2,us-west-2,192.168.194.84,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-27T08:15:57.138790+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-060 in us-west-2; MFA=True; S3 public access block enabled
2026-03-30T02:40:03.138790+00:00,user-044,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,54.240.129.214,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-30T02:40:03.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-044 in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-30T23:33:10.138790+00:00,user-070,ConsoleLogin,signin.amazonaws.com,us-east-1,us-east-1,172.16.35.200,True,IAM User,User logged in with MFA,Compliant,2026-03-30T23:33:10.138790+00:00 signin.amazonaws.com ConsoleLogin by user-070 in us-east-1; MFA=True; User logged in with MFA
2026-03-29T03:41:14.138790+00:00,user-004,CreateBucket,s3.amazonaws.com,us-west-2,us-west-2,10.0.78.62,False,S3 Bucket,Public S3 bucket created,Non-Compliant,2026-03-29T03:41:14.138790+00:00 s3.amazonaws.com CreateBucket by user-004 in us-west-2; MFA=False; Public S3 bucket created
2026-04-01T09:04:13.138790+00:00,user-073,ConsoleLogin,signin.amazonaws.com,us-west-2,us-west-2,192.168.188.43,True,IAM User,User logged in with MFA,Compliant,2026-04-01T09:04:13.138790+00:00 signin.amazonaws.com ConsoleLogin by user-073 in us-west-2; MFA=True; User logged in with MFA
2026-03-28T01:06:19.138790+00:00,user-021,ConsoleLogin,signin.amazonaws.com,eu-west-1,eu-west-1,3.91.13.238,True,IAM User,User logged in with MFA,Compliant,2026-03-28T01:06:19.138790+00:00 signin.amazonaws.com ConsoleLogin by user-021 in eu-west-1; MFA=True; User logged in with MFA
2026-03-27T15:45:18.138790+00:00,user-051,DisableKey,kms.amazonaws.com,us-west-2,us-west-2,3.91.124.27,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-27T15:45:18.138790+00:00 kms.amazonaws.com DisableKey by user-051 in us-west-2; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-30T22:44:59.138790+00:00,user-016,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-east-1,us-east-1,3.91.219.170,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-30T22:44:59.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-016 in us-east-1; MFA=True; Security group updated with restricted source CIDR
2026-04-01T16:24:03.138790+00:00,user-002,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,10.0.221.246,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-04-01T16:24:03.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-002 in ap-south-1; MFA=True; Security group updated with restricted source CIDR
